"cellID"	"clusterID"
"F_18W_embryo1_sc37"	"4"
"F_18W_embryo1_sc66"	"1"
"F_18W_embryo1_sc69"	"3"
"F_12W_embryo1_sc61"	"0"
"F_18W_embryo2_sc31"	"1"
"F_18W_embryo2_sc57"	"1"
"F_18W_embryo2_sc60"	"1"
"F_18W_embryo2_sc65"	"1"
"F_18W_embryo2_sc70"	"1"
"F_20W_embryo1_sc31"	"1"
"F_20W_embryo1_sc36"	"1"
"F_20W_embryo1_sc39"	"3"
"F_20W_embryo1_sc44"	"2"
"F_20W_embryo1_sc47"	"1"
"F_20W_embryo1_sc49"	"3"
"F_20W_embryo1_sc51"	"1"
"F_20W_embryo1_sc52"	"3"
"F_20W_embryo1_sc54"	"3"
"F_20W_embryo1_sc55"	"3"
"F_20W_embryo1_sc56"	"1"
"F_20W_embryo1_sc58"	"3"
"F_20W_embryo1_sc61"	"1"
"F_20W_embryo1_sc62"	"1"
"F_20W_embryo1_sc63"	"0"
"F_20W_embryo1_sc64"	"1"
"F_20W_embryo1_sc65"	"1"
"F_20W_embryo1_sc76"	"1"
"F_20W_embryo2_sc12"	"1"
"F_20W_embryo2_sc46"	"3"
"F_20W_embryo2_sc49"	"1"
"F_20W_embryo2_sc50"	"0"
"F_20W_embryo2_sc52"	"3"
"F_20W_embryo2_sc53"	"3"
"F_20W_embryo2_sc54"	"0"
"F_20W_embryo2_sc55"	"3"
"F_20W_embryo2_sc58"	"3"
"F_20W_embryo2_sc59"	"1"
"F_20W_embryo2_sc70"	"3"
"F_20W_embryo2_sc71"	"3"
"F_20W_embryo2_sc72"	"1"
"F_20W_embryo2_sc73"	"1"
"F_20W_embryo2_sc76"	"1"
"F_20W_embryo2_sc77"	"1"
"F_23W_embryo1_sc40"	"4"
"F_23W_embryo1_sc41"	"3"
"F_23W_embryo1_sc43"	"4"
"F_23W_embryo1_sc44"	"1"
"F_23W_embryo1_sc45"	"4"
"F_23W_embryo1_sc47"	"1"
"F_23W_embryo1_sc48"	"4"
"F_23W_embryo1_sc49"	"4"
"F_23W_embryo1_sc50"	"4"
"F_23W_embryo1_sc51"	"1"
"F_23W_embryo1_sc52"	"1"
"F_23W_embryo1_sc53"	"1"
"F_23W_embryo1_sc54"	"1"
"F_23W_embryo1_sc55"	"4"
"F_23W_embryo1_sc56"	"4"
"F_23W_embryo1_sc57"	"4"
"F_23W_embryo1_sc58"	"1"
"F_23W_embryo1_sc59"	"1"
"F_23W_embryo1_sc60"	"4"
"F_23W_embryo1_sc61"	"4"
"F_23W_embryo1_sc62"	"1"
"F_23W_embryo1_sc63"	"1"
"F_23W_embryo1_sc64"	"1"
"F_23W_embryo1_sc65"	"4"
"F_23W_embryo1_sc66"	"1"
"F_23W_embryo1_sc67"	"1"
"F_23W_embryo1_sc68"	"1"
"F_23W_embryo1_sc70"	"4"
"F_23W_embryo1_sc72"	"1"
"F_23W_embryo1_sc74"	"1"
"F_23W_embryo2_sc4"	"4"
"F_23W_embryo2_sc39"	"1"
"F_23W_embryo2_sc40"	"1"
"F_23W_embryo2_sc41"	"4"
"F_23W_embryo2_sc43"	"1"
"F_23W_embryo2_sc44"	"4"
"F_23W_embryo2_sc45"	"4"
"F_23W_embryo2_sc47"	"1"
"F_23W_embryo2_sc48"	"4"
"F_23W_embryo2_sc49"	"4"
"F_23W_embryo2_sc51"	"4"
"F_23W_embryo2_sc52"	"4"
"F_23W_embryo2_sc53"	"1"
"F_23W_embryo2_sc56"	"1"
"F_23W_embryo2_sc57"	"4"
"F_23W_embryo2_sc59"	"3"
"F_23W_embryo2_sc60"	"4"
"F_23W_embryo2_sc61"	"4"
"F_23W_embryo2_sc62"	"4"
"F_23W_embryo2_sc67"	"1"
"F_24W_embryo1_sc39"	"1"
"F_24W_embryo1_sc50"	"3"
"F_24W_embryo1_sc54"	"0"
"F_24W_embryo1_sc55"	"3"
"F_24W_embryo1_sc56"	"3"
"F_24W_embryo1_sc64"	"3"
"F_24W_embryo1_sc66"	"1"
"F_24W_embryo1_sc70"	"3"
"F_24W_embryo2_sc27"	"3"
"F_24W_embryo2_sc39"	"3"
"F_24W_embryo2_sc40"	"3"
"F_24W_embryo2_sc41"	"3"
"F_24W_embryo2_sc44"	"3"
"F_24W_embryo2_sc48"	"3"
"F_24W_embryo2_sc49"	"3"
"F_24W_embryo2_sc50"	"4"
"F_24W_embryo2_sc54"	"3"
"F_24W_embryo2_sc55"	"3"
"F_24W_embryo2_sc63"	"3"
"F_24W_embryo2_sc64"	"3"
"F_24W_embryo2_sc65"	"3"
"F_24W_embryo2_sc66"	"3"
"F_24W_embryo2_sc67"	"3"
"F_26W_embryo1_sc41"	"3"
"F_11W_embryo1_sc33"	"0"
"F_11W_embryo1_sc39"	"1"
"F_18W_embryo1_sc19"	"0"
"F_18W_embryo1_sc29"	"0"
"F_18W_embryo1_sc31"	"0"
"F_12W_embryo1_sc43"	"0"
"F_12W_embryo1_sc44"	"0"
"F_12W_embryo1_sc45"	"0"
"F_12W_embryo1_sc50"	"0"
"F_12W_embryo1_sc53"	"0"
"F_12W_embryo1_sc60"	"0"
"F_12W_embryo1_sc66"	"0"
"F_12W_embryo1_sc68"	"0"
"F_12W_embryo1_sc83"	"0"
"F_12W_embryo1_sc90"	"0"
"F_12W_embryo1_sc94"	"0"
"F_18W_embryo2_sc17"	"0"
"F_20W_embryo1_sc26"	"0"
"F_20W_embryo2_sc25"	"0"
"F_20W_embryo2_sc28"	"0"
"F_20W_embryo2_sc29"	"0"
"F_20W_embryo2_sc45"	"0"
"F_20W_embryo2_sc56"	"0"
"F_20W_embryo2_sc63"	"0"
"F_23W_embryo1_sc1"	"0"
"F_23W_embryo1_sc3"	"0"
"F_23W_embryo1_sc6"	"0"
"F_23W_embryo1_sc7"	"0"
"F_23W_embryo1_sc8"	"0"
"F_23W_embryo1_sc9"	"0"
"F_23W_embryo1_sc10"	"0"
"F_23W_embryo1_sc12"	"0"
"F_23W_embryo1_sc18"	"0"
"F_23W_embryo1_sc21"	"0"
"F_23W_embryo1_sc22"	"0"
"F_23W_embryo1_sc24"	"0"
"F_23W_embryo1_sc25"	"0"
"F_23W_embryo1_sc27"	"0"
"F_23W_embryo1_sc29"	"0"
"F_23W_embryo1_sc32"	"0"
"F_23W_embryo1_sc33"	"0"
"F_23W_embryo1_sc36"	"0"
"F_23W_embryo2_sc2"	"0"
"F_23W_embryo2_sc3"	"0"
"F_23W_embryo2_sc7"	"0"
"F_23W_embryo2_sc10"	"0"
"F_23W_embryo2_sc13"	"0"
"F_23W_embryo2_sc17"	"0"
"F_23W_embryo2_sc20"	"0"
"F_23W_embryo2_sc22"	"0"
"F_23W_embryo2_sc25"	"0"
"F_23W_embryo2_sc28"	"0"
"F_24W_embryo2_sc10"	"0"
"F_24W_embryo2_sc43"	"0"
"F_26W_embryo1_sc48"	"0"
"F_26W_embryo1_sc78"	"0"
"F_11W_embryo1_sc4"	"0"
"F_11W_embryo1_sc5"	"0"
"F_11W_embryo1_sc6"	"0"
"F_11W_embryo1_sc9"	"0"
"F_11W_embryo1_sc12"	"0"
"F_11W_embryo1_sc13"	"0"
"F_11W_embryo1_sc20"	"0"
"F_11W_embryo1_sc22"	"0"
"F_11W_embryo1_sc38"	"0"
"F_18W_embryo1_sc11"	"2"
"F_18W_embryo2_sc2"	"2"
"F_18W_embryo2_sc4"	"2"
"F_18W_embryo2_sc7"	"2"
"F_18W_embryo2_sc21"	"2"
"F_18W_embryo2_sc30"	"2"
"F_20W_embryo1_sc20"	"2"
"F_20W_embryo2_sc8"	"2"
"F_20W_embryo2_sc9"	"2"
"F_20W_embryo2_sc39"	"2"
"F_20W_embryo2_sc47"	"2"
"F_20W_embryo2_sc74"	"2"
"F_23W_embryo1_sc16"	"2"
"F_23W_embryo1_sc17"	"2"
"F_23W_embryo1_sc26"	"2"
"F_23W_embryo1_sc37"	"2"
"F_23W_embryo1_sc38"	"2"
"F_23W_embryo1_sc39"	"2"
"F_23W_embryo1_sc42"	"2"
"F_23W_embryo2_sc6"	"2"
"F_23W_embryo2_sc9"	"2"
"F_23W_embryo2_sc24"	"2"
"F_23W_embryo2_sc26"	"2"
"F_23W_embryo2_sc29"	"2"
"F_23W_embryo2_sc35"	"2"
"F_23W_embryo2_sc54"	"2"
"F_24W_embryo1_sc4"	"2"
"F_24W_embryo1_sc31"	"2"
"F_24W_embryo1_sc40"	"2"
"F_24W_embryo1_sc68"	"2"
"F_24W_embryo2_sc7"	"2"
"F_24W_embryo2_sc12"	"2"
"F_24W_embryo2_sc14"	"2"
"F_24W_embryo2_sc15"	"2"
"F_24W_embryo2_sc20"	"2"
"F_24W_embryo2_sc25"	"2"
"F_24W_embryo2_sc28"	"2"
"F_24W_embryo2_sc32"	"2"
"F_24W_embryo2_sc33"	"2"
"F_24W_embryo2_sc45"	"2"
"F_24W_embryo2_sc56"	"2"
"F_26W_embryo1_sc14"	"2"
"F_26W_embryo1_sc65"	"2"
"F_26W_embryo1_sc68"	"2"
"F_26W_embryo1_sc75"	"2"
